[00:07.880 --> 00:08.880]  And we're back.
[53:50.480 --> 53:51.200]  Seven minutes.
[53:51.400 --> 53:52.420]  Well, we got time to open up.
[53:52.580 --> 53:53.080]  We'll take a little bit.
[53:53.200 --> 53:54.020]  One more and then we'll get into...
[53:54.020 --> 53:55.320]  Yeah, and then we'll get into...
[53:55.320 --> 53:56.980]  And then we'll get into Laura Conner.
[53:57.040 --> 53:59.820]  Can't wait to see these fucking cards that Fisher's gonna come out and be like,
[53:59.860 --> 54:01.200]  I'll get those, I mean, if you don't want them.
[54:01.380 --> 54:02.140]  Tom Seaver.
[54:07.140 --> 54:08.380]  Mike Estremski parallel.
[54:09.240 --> 54:09.460]  Silver.
[54:10.140 --> 54:10.820]  Bobby Witt.
[54:11.240 --> 54:12.140]  Okay, Bobby Witt Jr.
[54:12.140 --> 54:13.040]  He's good.
[54:13.340 --> 54:14.400]  And Christian Pache.
[54:14.760 --> 54:14.980]  Okay.
[54:15.120 --> 54:15.500]  Okay.
[54:15.820 --> 54:16.440]  All right.
[54:16.440 --> 54:17.560]  Now, let's open up.
[54:17.780 --> 54:19.000]  Let's try this.
[54:19.200 --> 54:20.240]  So, what did you get?
[54:20.280 --> 54:20.960]  Because there's two things.
[54:21.020 --> 54:24.680]  So, I got the first chapter, a starting deck, which is supposed to have like...
[54:24.680 --> 54:26.460]  I don't know because I don't play this shit, right?
[54:26.480 --> 54:27.400]  And I've never played Magic.
[54:27.720 --> 54:27.900]  Cool.
[54:28.140 --> 54:29.180]  But they'll have like...
[54:29.180 --> 54:31.700]  I guess they'll be like an amount of cards that are the same.
[54:31.840 --> 54:33.300]  Like everybody gets the same base pack.
[54:33.460 --> 54:35.000]  And then they'll probably be some...
[54:35.000 --> 54:39.580]  Yeah, like here's your base cards and then here's the...
[54:39.580 --> 54:41.220]  Let's go through some of the base cards.
[54:41.220 --> 54:42.160]  I don't even see all of them.
[54:42.300 --> 54:43.400]  Yeah, I don't either.
[54:43.620 --> 54:44.380]  Because if they're base cards...
[54:44.380 --> 54:46.260]  Yeah, I don't want people to know what's in my deck.
[54:46.500 --> 54:49.220]  I keep it like it's kind of a surprise for my tournament play.
[54:49.680 --> 54:50.040]  So...
[54:50.040 --> 54:51.180]  But, you know, we'll see.
[54:51.380 --> 54:53.980]  Is the Wayward Sorcerer, that's what this one is.
[54:54.020 --> 54:55.300]  Is that what your chase card is?
[54:55.320 --> 54:57.160]  Or like what character would you look for in the Disney universe?
[54:57.160 --> 54:58.800]  I'm looking for like...
[54:58.800 --> 55:00.720]  If they got like...
[55:01.380 --> 55:04.300]  Donald Duck is like some kind of like rogue.
[55:04.540 --> 55:04.780]  Yeah.
[55:04.960 --> 55:05.380]  You know?
[55:05.500 --> 55:06.280]  Well, I got Ariel.
[55:06.820 --> 55:07.100]  All right.
[55:07.160 --> 55:09.340]  Well, I want Eric because he's the hottest prince out there.
[55:09.380 --> 55:10.040]  I got Ariel.
[55:10.040 --> 55:10.140]  I got Ariel.
[55:10.340 --> 55:10.820]  Oh, here's...
[55:10.820 --> 55:11.300]  I never...
[55:11.300 --> 55:13.720]  Same name, never felt anything for that guy.
[55:13.940 --> 55:14.680]  Here's our foil.
[55:15.060 --> 55:16.200]  Here's our Moana foil.
[55:16.900 --> 55:18.400]  Moana auto on card?
[55:18.520 --> 55:18.760]  Holy shit.
[55:18.760 --> 55:19.920]  We should probably sleeve that.
[55:20.000 --> 55:20.900]  And then Mickey foil.
[55:21.120 --> 55:21.560]  Whoa!
[55:21.920 --> 55:22.860]  That's the sorcerer.
[55:22.860 --> 55:23.940]  Let's not bother foiling those.
[55:23.960 --> 55:26.140]  I'm going to guess we got those foils because they're on the cover.
[55:26.320 --> 55:27.020]  No way!
[55:27.580 --> 55:28.020]  Yeah.
[55:28.180 --> 55:28.620]  Oh, look.
[55:28.640 --> 55:30.040]  There's the wardrobe from...
[55:30.880 --> 55:31.980]  There's the wardrobe.
[55:32.780 --> 55:33.660]  There's Jetsam.
[55:33.760 --> 55:34.840]  There's the fish.
[55:34.940 --> 55:35.380]  Lizard.
[55:35.700 --> 55:36.140]  Here's...
[55:36.140 --> 55:36.900]  Oh, Magic Brooms.
[55:36.920 --> 55:37.860]  There they are.
[55:38.160 --> 55:39.340]  Brooms is coming for you.
[55:39.340 --> 55:40.640]  There's too many.
[55:41.080 --> 55:42.540]  So, here's our booster.
[55:42.960 --> 55:43.280]  Okay.
[55:43.740 --> 55:44.220]  Pack.
[55:44.400 --> 55:44.720]  Okay.
[55:45.140 --> 55:46.020]  Let's see what we get.
[55:46.380 --> 55:46.740]  All right.
[55:46.820 --> 55:47.500]  Looking for hits.
[55:47.660 --> 55:48.160]  Looking for...
[55:48.160 --> 55:50.220]  Want a Johnny Depp auto.
[55:50.420 --> 55:51.720]  Looking for 101 Goofy.
[55:51.780 --> 55:52.220]  Cracked ice.
[55:52.860 --> 55:53.780]  I want a Daisy Duck.
[55:53.840 --> 55:54.600]  Donald Duck.
[55:54.740 --> 55:55.720]  Oh, wow.
[55:55.920 --> 55:56.780]  What's he doing?
[55:57.380 --> 55:57.860]  He's...
[55:57.860 --> 55:58.540]  Wait, what's the...
[55:58.540 --> 55:59.300]  I don't care about this one.
[55:59.320 --> 55:59.880]  Go to the next one.
[56:00.140 --> 56:01.200]  What the fuck?
[56:01.400 --> 56:03.480]  Kind of Saints Row-ass fly suit.
[56:03.720 --> 56:05.220]  What the fuck is this?
[56:05.600 --> 56:08.400]  Looking like DLC-looking-ass Goofy.
[56:08.400 --> 56:10.740]  Fucking being Saints Row 4, yeah.
[56:11.720 --> 56:12.800]  Oh, shit.
[56:13.080 --> 56:13.960]  Hakuna Matata.
[56:14.260 --> 56:15.100]  All right.
[56:15.460 --> 56:16.700]  There's that Magic Broom again.
[56:16.840 --> 56:17.160]  Boo.
[56:18.100 --> 56:18.520]  Stampede.
[56:18.920 --> 56:21.540]  Oh, that's the last thing you see if you're the Lion Dad.
[56:21.700 --> 56:21.980]  Yeah.
[56:22.520 --> 56:22.940]  Goons.
[56:23.080 --> 56:23.620]  That's what we are.
[56:24.580 --> 56:25.260]  Oh, my God.
[56:25.260 --> 56:25.980]  That is y'all.
[56:26.080 --> 56:26.560]  What are these?
[56:26.640 --> 56:27.540]  Oh, simply goons.
[56:27.680 --> 56:28.100]  Just goons.
[56:29.080 --> 56:29.500]  Jasper.
[56:29.780 --> 56:30.100]  Okay.
[56:30.220 --> 56:30.880]  Is that...
[56:30.880 --> 56:31.740]  He's going after the dogs?
[56:31.800 --> 56:32.480]  Is he the dogs guy?
[56:32.600 --> 56:33.300]  Yeah, I think so.
[56:33.360 --> 56:35.220]  He's gonna beat that dog to death with that.
[56:35.240 --> 56:36.260]  He's gonna beat the fucking shit out of the dogs, bro.
[56:36.260 --> 56:37.140]  That crowbar.
[56:38.160 --> 56:38.480]  Aurora.
[56:39.100 --> 56:39.420]  Aurora.
[56:39.960 --> 56:40.940]  Here's Goofy again.
[56:41.200 --> 56:42.020]  It's Goofy Musketeer.
[56:42.980 --> 56:43.320]  This is like Kingdom Hearts.
[56:43.320 --> 56:45.080]  Remember that game that we were playing?
[56:45.700 --> 56:47.820]  The Disney video game we were playing?
[56:48.180 --> 56:50.420]  And every time you were near Goofy, he was like, gawrsh.
[56:50.540 --> 56:51.300]  Oh, Dreamlight Valley?
[56:51.400 --> 56:51.660]  Yeah.
[56:52.340 --> 56:53.140]  Cruella de Vil.
[56:53.400 --> 56:55.980]  When you said you had these cards, I thought they were Dreamlight Valley cards.
[56:56.360 --> 56:57.420]  When you're like, these are Lorikana.
[56:57.580 --> 56:58.280]  I'm like, oh, this is like an Xbox game.
[56:58.280 --> 56:59.260]  No, it's like some other thing.
[56:59.280 --> 56:59.980]  Yeah, it's like a different thing.
[57:00.140 --> 57:00.640]  Mickey Mouse.
[57:00.680 --> 57:03.600]  I only know about it because people kept emailing me about it.
[57:03.620 --> 57:04.620]  He's like a...
[57:04.620 --> 57:05.380]  He's a brave little tailor.
[57:05.380 --> 57:06.140]  He's the...
[57:06.140 --> 57:06.960]  Oh, he's got...
[57:06.960 --> 57:07.680]  The Jack and the Beanstalk.
[57:07.800 --> 57:08.620]  He's got fucking scissors.
[57:09.040 --> 57:10.360]  And then here's our foil card.
[57:10.500 --> 57:11.940]  It's Ariel on human legs.
[57:12.700 --> 57:13.020]  Oh.
[57:13.280 --> 57:14.000]  That's when she can't talk.
[57:14.020 --> 57:16.520]  I guess we'll sleeve that for some reason.
[57:17.340 --> 57:18.600]  He has my favorite kind of Ariel.
[57:18.880 --> 57:19.500]  She can't talk.
[57:20.620 --> 57:22.000]  She can't talk when she has human legs?
[57:22.100 --> 57:22.420]  Nuh-uh.
[57:22.740 --> 57:23.520]  That's like the whole thing.
[57:23.560 --> 57:25.700]  Ursula takes her voice, and then she can go up there,
[57:25.740 --> 57:27.620]  and then she doesn't know what a fork is or something.
[57:27.960 --> 57:30.900]  Well, it's a thingamajig, and it's to brush her hair.
[57:31.700 --> 57:34.480]  But yeah, Ursula has a whole song about how you don't need to talk.
[57:34.480 --> 57:35.500]  Guys don't like that.
[57:36.780 --> 57:37.940]  Like, just use your body.
[57:38.080 --> 57:38.840]  That's all they care about.
[57:40.080 --> 57:40.800]  There's Maleficent.
[57:41.080 --> 57:41.740]  Oh, magnificent.
[57:42.780 --> 57:43.980]  Here we have Peter Pan.
[57:44.320 --> 57:44.460]  Peter Pan.
[57:44.780 --> 57:45.420]  He, uh...
[57:45.420 --> 57:46.000]  Grow the fuck up.
[57:47.340 --> 57:47.700]  Uh...
[57:48.200 --> 57:49.540]  Phaloc-ta-tets.
[57:50.440 --> 57:50.800]  Phalos?
[57:50.880 --> 57:51.420]  His name is Phil.
[57:51.820 --> 57:52.760]  Uh, Minnie Mouse.
[57:52.840 --> 57:53.340]  Minnie Mouse.
[57:53.500 --> 57:54.300]  Here's the Dinglehopper.
[57:54.480 --> 57:55.320]  Oh, hell yeah.
[57:55.420 --> 57:55.940]  I love the name of it.
[57:55.940 --> 57:56.640]  Good Mickey.
[57:57.260 --> 57:58.480]  You know, sleeve the Dinglehopper.
[57:58.560 --> 57:58.760]  Yeah.
[57:59.000 --> 57:59.880]  There's the Beast's mirror.
[58:00.680 --> 58:01.180]  That's cool.
[58:01.220 --> 58:02.720]  That's where he looks to see if he's still the Beast.
[58:03.020 --> 58:03.920]  It's a smash.
[58:03.920 --> 58:04.900]  That's what goons do.
[58:05.040 --> 58:05.360]  They smash.
[58:05.780 --> 58:06.660]  Shield of Virtue.
[58:07.320 --> 58:08.180]  That's pretty good, right?
[58:08.920 --> 58:09.280]  Befuddle.
[58:09.600 --> 58:10.560]  That's what I am, usually.
[58:11.420 --> 58:12.440]  It's Geoff and a card.
[58:12.640 --> 58:12.840]  Yeah.
[58:13.120 --> 58:13.480]  Hades.
[58:13.860 --> 58:14.160]  Uh-huh.
[58:15.180 --> 58:15.540]  Kuzgo.
[58:15.680 --> 58:19.380]  So you were telling me before the show that you were looking for the Hades card, but just
[58:19.380 --> 58:22.720]  because you, like, just, like, agree with, like, his opinions online or something?
[58:22.860 --> 58:23.600]  Is that what you were saying?
[58:23.620 --> 58:24.440]  That's not what I was saying.
[58:24.880 --> 58:27.280]  Uh, we got another Ariel black foil.
[58:27.360 --> 58:29.180]  So if anyone wants to trade, uh...
[58:29.760 --> 58:32.220]  Guys, does anyone out there want to trade?
[58:32.580 --> 58:33.460]  We got an extra Ariel.
[58:33.460 --> 58:37.300]  This character can't whatever to sing songs.
[58:37.380 --> 58:38.540]  There's a...
[58:38.540 --> 58:38.920]  They can't whatever.
[58:38.940 --> 58:39.660]  Maybe we should learn how to sing.
[58:40.780 --> 58:41.400]  I forgot.
[58:41.540 --> 58:44.740]  The dinglehopper removes up to one damage from chosen character.
[58:45.100 --> 58:46.240]  Enjoy the finest of human hair.
[58:46.240 --> 58:47.140]  Enjoy these cards, Fisher.
[58:47.360 --> 58:48.020]  I forgot.
[58:48.260 --> 58:48.840]  We didn't...
[58:49.420 --> 58:50.160]  We don't have any time!
[58:50.200 --> 58:50.960]  Decision 92.
[58:51.080 --> 58:53.000]  We're gonna open up one fucking Decision 92 card.
[58:53.040 --> 58:53.960]  We might be able to get through two.
[58:54.460 --> 58:55.040]  Two packs.
[58:55.100 --> 58:55.880]  What do you want the most?
[58:55.960 --> 58:56.900]  Pro-life or pro-choice?
[58:57.060 --> 58:59.400]  Oh, I want Ross Perot auto on card.
[59:00.300 --> 59:02.040]  I'm Ross Perot choice, so...
[59:04.160 --> 59:05.380]  Can it finish? Can it finish?
[59:07.640 --> 59:08.420]  Deep cut!
[59:08.780 --> 59:09.440]  Oh, boy.
[59:10.380 --> 59:11.060]  Very sticky.
[59:11.360 --> 59:12.140]  92 jokes.
[59:13.740 --> 59:14.560]  Each pack is...
[59:14.560 --> 59:14.980]  Oh, my God.
[59:15.140 --> 59:16.920]  Each pack might just be one card now.
[59:17.400 --> 59:18.380]  Okay, let's see what we got here.
[59:18.640 --> 59:18.960]  We got...
[59:18.960 --> 59:20.860]  Oh, the JFA conspiracies.
[59:21.400 --> 59:21.840]  That's...
[59:23.120 --> 59:24.540]  Is that Oliver Stone?
[59:24.600 --> 59:25.200]  That's Oliver Stone.
[59:25.640 --> 59:26.280]  That's awesome!
[59:26.620 --> 59:28.700]  Oh, here we have the election of 1860.
[59:28.920 --> 59:29.140]  Cool.
[59:29.340 --> 59:29.800]  Remember that one.
[59:29.900 --> 59:30.800]  That was a big one.
[59:30.820 --> 59:31.520]  That was a close one.
[59:31.520 --> 59:31.960]  Yeah.
[59:33.040 --> 59:33.900]  Down to the wire.
[59:34.060 --> 59:35.000]  Oh, these are hard to open.
[59:35.120 --> 59:35.500]  Hanging chads and everything.
[59:36.080 --> 59:37.140]  Oh, Bush on issues.
[59:37.800 --> 59:38.760]  Not gonna do it.
[59:39.320 --> 59:40.440]  Not gonna do it.
[59:40.480 --> 59:40.980]  Not gonna do it.
[59:41.420 --> 59:42.980]  And then we have...
[59:43.760 --> 59:44.780]  Perot saddles up.
[59:45.840 --> 59:48.900]  That was back when Ross Perot was in the Civil War.
[59:51.120 --> 59:51.520]  Billions.
[59:51.640 --> 59:53.740]  Eric Clinton on the issues, talking about issues.
[59:55.340 --> 59:55.740]  Then...
[59:55.740 --> 59:57.840]  Oh, we have Perot's VP selection.
[59:58.000 --> 59:59.300]  That's right, it was Storm and Norman.
[59:59.540 --> 01:00:00.940]  Yeah, it was like...
[01:00:01.780 --> 01:00:02.580]  Weird time for...
[01:00:03.360 --> 01:00:03.600]  Weird time.
[01:00:04.020 --> 01:00:04.360]  Weird time.
[01:00:04.380 --> 01:00:04.840]  But we gotta keep going.
[01:00:04.940 --> 01:00:06.440]  R&C, R&C, there you go.
[01:00:06.500 --> 01:00:07.200]  That looks like Dallas.
[01:00:07.220 --> 01:00:07.720]  That's Austin.
[01:00:08.120 --> 01:00:08.660]  Is that Austin?
[01:00:08.900 --> 01:00:09.520]  No, that's Houston.
[01:00:09.680 --> 01:00:10.120]  That's Houston.
[01:00:10.280 --> 01:00:11.300]  Sorry, I saw the little...
[01:00:11.300 --> 01:00:12.080]  They're all the same to me.
[01:00:12.680 --> 01:00:13.700]  Republican VP selection.
[01:00:14.040 --> 01:00:14.480]  George Bush.
[01:00:14.940 --> 01:00:17.160]  Oh my God, let's have a sweaty pits selection.
[01:00:18.120 --> 01:00:19.380]  Oh, here we have Law and Order.
[01:00:21.980 --> 01:00:23.320]  Is that Rodney Keene?
[01:00:23.320 --> 01:00:24.060]  That's Rodney Keene.
[01:00:25.460 --> 01:00:27.020]  Alright, well, last pack.
[01:00:27.360 --> 01:00:28.240]  Last pack mojo.
[01:00:28.400 --> 01:00:29.020]  Last pack mojo.
[01:00:29.160 --> 01:00:30.520]  This is an interesting...
[01:00:32.040 --> 01:00:33.560]  group of cards.
[01:00:34.760 --> 01:00:36.100]  This card's all beat up.
[01:00:36.520 --> 01:00:37.340]  Kinda like the institution.
[01:00:37.460 --> 01:00:38.120]  There's the White House.
[01:00:39.600 --> 01:00:41.660]  Oh, here we have fuckin' sexual harassment.
[01:00:42.100 --> 01:00:43.880]  Hey, can we sleeve that?
[01:00:43.940 --> 01:00:45.040]  That's a good-ass card.
[01:00:47.000 --> 01:00:47.400]  Dipshit.
[01:00:47.500 --> 01:00:48.560]  There we got the Democrat.
[01:00:49.520 --> 01:00:50.280]  There's another one.
[01:00:50.320 --> 01:00:50.980]  Gay rights.
[01:00:51.260 --> 01:00:51.620]  Hey.
[01:00:51.960 --> 01:00:52.560]  Oh, that's awesome.
[01:00:52.840 --> 01:00:53.540]  These cards are...
[01:00:54.020 --> 01:00:55.320]  These cards are bizarre.
[01:00:55.660 --> 01:00:56.200]  Yeah, they are bizarre.
[01:00:56.600 --> 01:00:57.640]  Oh, here we have...
[01:00:57.640 --> 01:00:58.380]  Clinton blows.
[01:00:59.780 --> 01:01:02.320]  Here we have former Soviet Union.
[01:01:02.460 --> 01:01:03.020]  Is that...
[01:01:03.020 --> 01:01:03.540]  There we go.
[01:01:03.940 --> 01:01:04.380]  That's old...
[01:01:05.440 --> 01:01:06.100]  What's-his-face.
[01:01:08.020 --> 01:01:08.820]  And then...
[01:01:08.820 --> 01:01:09.620]  Oh, there's a checklist.
[01:01:11.060 --> 01:01:12.560]  Here's Nixon and Watergate.
[01:01:12.660 --> 01:01:15.280]  All the highlights of all of our worst moments as a country.
[01:01:15.460 --> 01:01:16.420]  Perot on the issues.
[01:01:17.760 --> 01:01:19.780]  It's the issue of do I take my wife out to dinner or not.
[01:01:20.100 --> 01:01:21.960]  And then Democratic VP selection.
[01:01:22.300 --> 01:01:22.420]  Wow.
[01:01:22.540 --> 01:01:23.640]  Here you go.
[01:01:24.200 --> 01:01:24.600]  Wow!
[01:01:25.380 --> 01:01:26.900]  We ended on a high note with that one.
[01:01:26.900 --> 01:01:29.300]  Thanks for spending the last hour with us.
[01:01:29.540 --> 01:01:32.620]  If you enjoyed it, maybe come and tune in next week.
[01:01:32.660 --> 01:01:33.580]  We'll be back next week.
[01:01:33.680 --> 01:01:34.440]  You can watch on YouTube.
[01:01:34.600 --> 01:01:35.760]  You can watch on the Rooster Teeth site.
[01:01:35.840 --> 01:01:36.620]  That's where the chat is.
[01:01:36.680 --> 01:01:37.740]  So you can go chat with people and say,
[01:01:37.840 --> 01:01:38.760]  Hey, whoa, crazy card.
[01:01:40.700 --> 01:01:41.420]  Good stuff.
[01:01:41.780 --> 01:01:42.020]  See?
[01:01:43.000 --> 01:01:44.100]  We'll be back next Monday.
[01:01:44.320 --> 01:01:45.600]  We'll be getting some new cards.
[01:01:45.700 --> 01:01:47.180]  Maybe we'll play the Common Thread game.
[01:01:47.460 --> 01:01:48.100]  Whatever that is.
[01:01:48.260 --> 01:01:48.500]  We will.
[01:01:48.800 --> 01:01:50.540]  There will be more Monopoly cards or something.
[01:01:50.900 --> 01:01:51.940]  No more Lorna Doom.
[01:01:52.080 --> 01:01:52.640]  Those are gone.
[01:01:53.140 --> 01:01:54.080]  And Summer 98.
[01:01:55.020 --> 01:01:55.960]  Thank you very much!
[01:01:55.960 --> 01:01:56.960]  Thanks for watching.
[01:01:57.060 --> 01:01:58.160]  Geoff, say something inspiring!
[01:01:58.700 --> 01:01:59.300]  See you next week!
[01:01:59.440 --> 01:01:59.660]  Okay.
[01:02:01.160 --> 01:02:03.160]  The back of this card is one-sided red.
