[00:02.580 --> 00:04.380]  It's Summer Games Fest!
[01:53:29.120 --> 01:53:33.860]  They're fucking bringing Grip Ball back to Halo Infinite or they're bringing it next week.
[01:53:33.980 --> 01:53:34.560]  Yeah, I heard about that.
[01:53:34.660 --> 01:53:35.080]  We gotta do that.
[01:53:35.200 --> 01:53:37.120]  Oh, yeah, yeah, yeah.
[01:53:38.460 --> 01:53:40.000]  People keep asking me if I'm going to play it.
[01:53:40.980 --> 01:53:41.300]  Are you?
[01:53:41.700 --> 01:53:43.220]  I mean, if we film it, I will.
[01:53:43.360 --> 01:53:44.780]  If not, then no.
[01:53:45.480 --> 01:53:47.400]  I think I uninstalled Halo yesterday, actually.
[01:53:47.980 --> 01:53:49.360]  Oh, I just installed it.
[01:53:50.380 --> 01:53:51.780]  Oh, you uninstalled it.
[01:53:54.120 --> 01:53:56.500]  I'm just trying to make Call of Duty work for the damn anymore.
[01:53:56.980 --> 01:53:58.560]  Is it still giving you lag problems?
[01:53:58.700 --> 01:54:00.080]  I haven't tried since I reinstalled it.
[01:54:00.340 --> 01:54:00.760]  Okay, okay.
[01:54:02.340 --> 01:54:04.320]  And you didn't have those issues when we did Sea of Thieves?
[01:54:04.780 --> 01:54:06.600]  No, no issues in the game.
[01:54:06.740 --> 01:54:07.140]  Just Call of Duty.
[01:54:08.220 --> 01:54:09.260]  That's really weird.
[01:54:11.360 --> 01:54:12.780]  Could have been an update issue, maybe.
[01:54:12.980 --> 01:54:13.280]  Yeah.
[01:54:14.260 --> 01:54:16.300]  That game has a lot of freaking updates.
[01:54:18.560 --> 01:54:20.320]  Oh, this looks cool.
[01:54:21.480 --> 01:54:26.120]  Okay, I feel like I've seen the trailer for this once before, but not this.
[01:54:26.320 --> 01:54:27.460]  Is this like another trailer?
[01:54:27.480 --> 01:54:30.060]  Well, it's been around since 1943, so the chances are pretty fucking high.
[01:54:30.080 --> 01:54:31.180]  It's like a 1940s Yakuza?
[01:54:31.940 --> 01:54:33.080]  I think so.
[01:54:35.060 --> 01:54:36.420]  What a cool idea.
[01:54:40.640 --> 01:54:41.460]  This is brave.
[01:54:41.840 --> 01:54:41.960]  Oh, wow.
[01:54:42.500 --> 01:54:45.180]  I mean, 1943, very interesting time here.
[01:54:48.620 --> 01:54:49.140]  Yeah.
[01:54:49.140 --> 01:54:51.160]  What a way to block him all the time.
[01:54:52.120 --> 01:54:53.160]  Just take it.
[01:54:53.460 --> 01:54:53.680]  Yeah.
[01:54:54.180 --> 01:54:55.180]  Oh, goodbye.
[01:54:55.740 --> 01:54:57.340]  Show him no mercy.
[01:55:06.320 --> 01:55:08.200]  Be funny if they're taking a piss.
[01:55:09.440 --> 01:55:10.320]  I think it is Yakuza.
[01:55:17.920 --> 01:55:19.640]  Be cool if they brought back true crime.
[01:55:20.880 --> 01:55:21.260]  Oh, yeah.
[01:55:27.980 --> 01:55:28.940]  Project Century.
[01:55:31.220 --> 01:55:32.180]  Stranger than Heaven.
[01:55:35.220 --> 01:55:36.940]  Okay, very cool.
[01:55:37.960 --> 01:55:39.700]  That might be the coolest looking thing I've seen so far.
[01:55:40.500 --> 01:55:46.040]  You saw it at TGA last year as Project Century set in 1915, and now the full name has been
[01:55:46.040 --> 01:55:50.320]  revealed, Stranger than Heaven, the brand new title from RGG Studio.
[01:55:50.540 --> 01:55:56.720]  This time it's now 1943, and knowing RGG, I'm sure more surprises are surely on their way.
[01:55:57.640 --> 01:56:04.020]  All right, well, we're almost done here, but we do have one final very special global game.
[01:56:04.100 --> 01:56:04.980]  What do you guys think it's going to be?
[01:56:05.120 --> 01:56:06.340]  With all of you who've been waiting.
[01:56:06.600 --> 01:56:07.120]  Resident Evil.
[01:56:07.300 --> 01:56:11.640]  Today we've showcased a lot of projects from teams around the world, including many brand
[01:56:11.640 --> 01:56:13.160]  new studios, and we're proud of that.
[01:56:13.220 --> 01:56:15.660]  He did say that we'd reveal more in a blink of an eye.
[01:56:15.720 --> 01:56:17.820]  It would be really funny if this is the blink.
[01:56:18.560 --> 01:56:20.360]  Blockbuster games time and again.
[01:56:20.800 --> 01:56:21.580]  Oh, it's probably Garfield.
[01:56:21.700 --> 01:56:23.060]  When I first got a glimpse at this project.
[01:56:23.080 --> 01:56:23.680]  Yeah, that's true.
[01:56:23.900 --> 01:56:26.200]  I was absolutely blown away.
[01:56:26.720 --> 01:56:31.180]  By the scale, scope and ambition of this developer's vision.
[01:56:31.600 --> 01:56:36.000]  And while there are many places, really any place this game could have been revealed,
[01:56:36.220 --> 01:56:42.800]  we are so deeply honored that we get to share it with the world right here at Summer Game Fest.
[01:56:44.220 --> 01:56:45.160]  Lose your suit, Larry.
[01:56:45.640 --> 01:56:46.660]  Bubsy 4.
[01:56:47.300 --> 01:56:47.960]  Control 2.
[01:56:48.720 --> 01:56:49.580]  New Call of Duty.
[01:56:52.800 --> 01:56:53.660]  That guy.
[01:56:58.190 --> 01:56:59.830]  The Office, the video game.
[01:57:00.560 --> 01:57:00.890]  Yeah.
[01:57:05.110 --> 01:57:07.950]  This could be Resident Evil.
[01:57:08.590 --> 01:57:09.670]  Could be.
[01:57:10.010 --> 01:57:10.670]  Very.
[01:57:10.850 --> 01:57:11.970]  That font was very Resident Evil.
[01:57:12.050 --> 01:57:12.710]  Yeah, that everything.
[01:57:14.510 --> 01:57:15.570]  This is entry.
[01:57:18.550 --> 01:57:19.730]  Oh, somebody said equalizer.
[01:57:20.070 --> 01:57:20.910]  That'd be cool.
[01:57:27.790 --> 01:57:29.110]  Big room.
[01:57:29.710 --> 01:57:30.350]  It's not Jill.
[01:57:34.230 --> 01:57:34.830]  Ashcroft.
[01:57:35.150 --> 01:57:37.750]  Ashcroft is a Resident Evil name, isn't it?
[01:57:49.800 --> 01:57:51.000]  Grace Ashcroft.
[01:57:58.700 --> 01:58:00.600]  Is that the kid in Resident Evil, Grace?
[01:58:02.440 --> 01:58:04.180]  No, that was...
[01:58:04.180 --> 01:58:05.540]  No, that's, um...
[01:58:06.940 --> 01:58:09.140]  Alyssa or Alicia, Alicia, Alicia.
[01:58:11.580 --> 01:58:12.940]  Can't remember her name.
[01:58:18.460 --> 01:58:20.860]  Oh, Rose was that character's name.
[01:58:20.940 --> 01:58:21.260]  Rose.
[01:58:21.620 --> 01:58:21.920]  Yeah.
[01:58:23.420 --> 01:58:25.600]  And then there was Sherry from...
[01:58:25.600 --> 01:58:26.620]  Nathan Dempsey.
[01:58:45.540 --> 01:58:50.080]  It's wild that you misremembered the name as Alyssa and that's the mom name.
[01:58:51.080 --> 01:58:52.120]  Silent Hills.
[01:58:52.660 --> 01:58:53.400]  Silent Hill?
[01:58:53.580 --> 01:58:53.920]  Is that what the chat is saying?
[01:58:54.740 --> 01:58:55.160]  No, I don't know.
[01:58:55.160 --> 01:58:56.940]  The chat's saying a lot of shit.
[01:58:57.520 --> 01:58:59.160]  They also say it's X-Files.
[01:59:00.860 --> 01:59:02.000]  You don't read the chat.
[01:59:02.140 --> 01:59:02.620]  Don't go crazy.
[01:59:08.040 --> 01:59:09.660]  Is it not Resident Evil?
[01:59:10.780 --> 01:59:12.200]  It feels like it.
[01:59:14.320 --> 01:59:15.640]  Reminds me a bit of P.T.
[01:59:18.840 --> 01:59:20.400]  Oh, somebody said shit, shit, shit.
[01:59:20.600 --> 01:59:21.480]  I'm not familiar with that one.
[01:59:29.510 --> 01:59:29.910]  Oh.
[01:59:31.550 --> 01:59:32.630]  All right, that doesn't tell me...
[01:59:40.250 --> 01:59:45.210]  Oh, it is.
[01:59:45.350 --> 01:59:46.110]  It's Resident Evil.
[01:59:46.310 --> 01:59:46.950]  Yeah, because this is...
[01:59:46.950 --> 01:59:47.110]  Yeah.
[01:59:47.630 --> 01:59:48.450]  Yeah, because it's a new...
[01:59:48.450 --> 01:59:49.170]  They dropped the bomb.
[01:59:49.530 --> 01:59:49.690]  Yeah.
[01:59:50.110 --> 01:59:50.350]  Raccoon City.
[01:59:53.450 --> 01:59:53.810]  Whoa.
[01:59:57.810 --> 01:59:59.510]  I wonder if this is first or third.
[02:00:04.510 --> 02:00:04.950]  Requiem.
[02:00:05.850 --> 02:00:06.290]  Okay.
[02:00:07.390 --> 02:00:08.270]  Fuck yeah.
[02:00:10.050 --> 02:00:10.490]  Finally.
[02:00:13.570 --> 02:00:13.890]  Because...
[02:00:13.890 --> 02:00:14.890]  Wow, I hate everything.
[02:00:15.530 --> 02:00:17.530]  Whoa, that's relatively soon.
[02:00:17.770 --> 02:00:18.690]  Yeah, did they say February?
[02:00:19.170 --> 02:00:19.350]  Yeah.
[02:00:19.770 --> 02:00:19.970]  Yeah.
[02:00:21.730 --> 02:00:22.610]  Oh, awesome.
[02:00:22.670 --> 02:00:23.430]  I'm so excited.
[02:00:23.550 --> 02:00:25.290]  I love Resident Evil 7 and 8.
[02:00:25.930 --> 02:00:27.070]  Really, all the modern ones.
[02:00:27.070 --> 02:00:27.090]  I like this.
[02:00:27.450 --> 02:00:31.390]  It'd be cool if they did a crossover of Resident Evil and Requiem for a dream, the movie.
[02:00:31.870 --> 02:00:31.890]  I don't know.
[02:00:31.890 --> 02:00:31.910]  I don't know.
[02:00:31.910 --> 02:00:33.410]  That would be cool.
[02:00:35.890 --> 02:00:37.650]  You're like busting on Keith David.
[02:00:49.610 --> 02:00:50.230]  Awesome.
[02:00:57.610 --> 02:00:59.570]  You did, because we were mad.
[02:01:04.430 --> 02:01:05.450]  Yeah, way to go, Lucy.
[02:01:06.330 --> 02:01:06.930]  Good work.
[02:01:07.550 --> 02:01:09.430]  It's a daunting thing to go out there in front of those people.
[02:01:09.430 --> 02:01:10.270]  Oh, absolutely, yeah.
[02:01:10.470 --> 02:01:11.190]  A hundred percent.
[02:01:13.410 --> 02:01:14.930]  Oh, I thought they both did a good job.
[02:01:15.870 --> 02:01:16.230]  Yeah.
[02:01:23.190 --> 02:01:27.210]  They're a good duo, because she's a left-hand person and he's using the right a lot.
[02:01:28.070 --> 02:01:28.430]  Balance.
[02:01:31.930 --> 02:01:34.230]  They should be on each other's other sides, though.
[02:01:45.630 --> 02:01:46.590]  No problem.
[02:01:51.410 --> 02:01:51.890]  Cool.
[02:01:53.650 --> 02:01:54.370]  That's awesome.
[02:01:55.070 --> 02:01:56.050]  Almost 6.01.
[02:01:57.270 --> 02:01:57.630]  Way to go.
[02:01:57.910 --> 02:01:58.290]  Oh, you missed...
[02:01:58.290 --> 02:01:59.650]  Oh, HeroFire showed up late.
[02:01:59.690 --> 02:02:00.770]  You missed the stardew news.
[02:02:00.830 --> 02:02:01.430]  That was pretty crazy.
[02:02:01.430 --> 02:02:04.390]  Yeah, but everyone keep it from them.
[02:02:04.450 --> 02:02:05.130]  They don't need to know about that.
[02:02:05.190 --> 02:02:06.030]  They can figure out themselves.
[02:02:08.610 --> 02:02:12.050]  Well, guys, thanks for watching.
[02:02:12.270 --> 02:02:13.270]  Thank you so much.
[02:02:13.810 --> 02:02:15.830]  A fun summer game fest.
[02:02:15.930 --> 02:02:17.230]  We saw more than one game.
[02:02:19.650 --> 02:02:20.930]  That got really loud.
[02:02:21.450 --> 02:02:24.730]  We saw more than one game, but not to be outdone,
[02:02:25.810 --> 02:02:28.190]  some of the games were not very good, but some of them were okay.
[02:02:28.910 --> 02:02:31.070]  Ending with Resident Evil 9, I thought was very cool.
[02:02:31.430 --> 02:02:32.590]  Great way to end it.
[02:02:33.170 --> 02:02:36.710]  The reason I remembered that name is because Garrett from Mega64
[02:02:36.710 --> 02:02:39.010]  plays Resident Evil Outbreak all the time still,
[02:02:39.170 --> 02:02:42.810]  and he was talking about Alyssa Ashcroft the other day to me.
[02:02:42.850 --> 02:02:43.230]  Oh, wow.
[02:02:43.510 --> 02:02:45.570]  As my eyes glazed over.
[02:02:47.570 --> 02:02:49.010]  But, guys, we made it.
[02:02:49.050 --> 02:02:50.850]  Just about 6.01 here.
[02:02:51.510 --> 02:02:55.070]  The best time of the week because we're calling it.
[02:02:55.130 --> 02:02:55.750]  We're ending it.
[02:02:55.910 --> 02:02:57.530]  And we appreciate you guys sticking with us.
[02:02:57.730 --> 02:02:58.730]  Don't forget to check out the podcast.
[02:02:59.410 --> 02:03:00.230]  Check out the Patreon.
[02:03:00.230 --> 02:03:02.410]  We have a lot of new stuff coming out.
[02:03:02.570 --> 02:03:05.210]  A lot of fun stuff coming out for you guys really soon.
[02:03:05.730 --> 02:03:08.810]  We have a draft coming this Sunday.
[02:03:08.990 --> 02:03:11.590]  If you're listening to this on Tuesday, then you missed it.
[02:03:11.650 --> 02:03:14.070]  It was a couple of days ago, but it's on YouTube, and that'll be free for everyone.
[02:03:14.130 --> 02:03:14.950]  So go check it out.
[02:03:15.630 --> 02:03:17.990]  But until then, this has been Summer Game Fest.
[02:03:18.050 --> 02:03:19.270]  Guys, what was your favorite game?
[02:03:20.650 --> 02:03:23.590]  James Bond DLC or Pitman DLC of James Bond.
[02:03:26.590 --> 02:03:27.950]  Yeah, Resident Evil, I guess.
[02:03:27.950 --> 02:03:30.850]  Mine's Seven Deadly Sins Origin.
[02:03:31.070 --> 02:03:33.510]  Guys, thank you so much for watching, and we'll see you next time.
[02:03:33.590 --> 02:03:33.890]  Bye!
[02:03:34.910 --> 02:03:38.490]  Congratulations to the Mountain Time people who got to experience a true 5.01 today.
[02:03:38.510 --> 02:03:39.570]  It's true, hell yeah.
